id,name,ingredients,time,description,calories,protein,fat,sugar,sodium,carbs,meat_ingredients,is_vegetarian
527,2 ingredients  eggs   banana  pancakes,"eggs, banana, cooking spray",10,"mash ripe banana well , add in whisk eggs warm non stick or cast iron pan to medium , spray with oil cook silver dollar size pancakes 30 seconds on each side and serve",248.0,27,15,59,5,9,,1
528,2 kind apple halva,"apples, sugar, condensed milk, semolina, ground cinnamon, dried fruit, ground cardamom, nuts",25,"microwave the grated apples 3 minutes add sugar , condensed milk and semolina mix well microwave all together 12 minutes dived in 2 portions prepare 2 greased pans of 5 to 7 inches cinnamon halva: add cinnamon , mix well , spread in the first pan and decorate with dried fruits cardamom halva: add cardamom , mix well , spread in the first pan and decorate with almonds or nuts after cooling down keep in refrigerator and cut in small pieces serve refrigerated or at room temperature",72.2,1,1,55,0,5,,1
529,2 minute fudge,"confectioners' sugar, cocoa, salt, milk, vanilla, butter, nuts",7,"stir together sugar , cocoa , salt , milk , and vanilla in a 1 1 / 2 quart dish until blended top with butter microwave on high 2 minutes stir blend in nuts pour into an 8-inch dish lined with wax paper chill",3567.0,70,263,1811,91,171,,1
530,2 minute low fat strawberry and banana custard comfort food,"banana, custard, strawberry jelly, artificial sweetener, cinnamon",2,"put the kettle on spoon custard into microwaveable bowl and microwave on full until it rises , when it's bubbling near the top of the bowl stop microwave and leave to stand whilst -- leaving peel on banana , chop it in half (you might fancy the other half in a minute , but it will otherwise keep ok for a couple of days on the top shelf in the refrigerator -- peel the half banana & discard peel holding banana lengthways in your hand , slice it lengthways right thru then rotate it and slice lengthways again so it's quartered into long quarters supporting it in your hand and fingers chop it roughly at quarter inches intervals lengthways to end up with lots of hasty cut chunky segments disperse the banana bits across the top of the custard get a small pot or egg cup and spoon a generous teaspoon of your favourite strawberry jam / jelly into it pour on a little of the hot water from the kettle - just enough to make it runny enough to pour like a thick sauce across the top of the banana bits pour strawberry sauce across top of bananas and custard and put the bowl back into microwave for about 45 seconds so you don't want to boil it , just hot take out and if it seems hot enough pour over a teaspoon or so of granulated sweetener - to taste sprinkle cinnamon across the top and serve not a lot to it but it's quick , sweet , very tasty and very enjoyable and it's a great way to use up bananas that are too soft and squishy plus you won't blow up like a balloon on the caloric load - unless you eat two dozen portions ! it won't matter if the bananas are still very fresh as once heated they soften and sweeten a lot",711.7,22,15,43,18,49,,1
531,2 minute mayonnaise,"sweetened condensed milk, salt, vinegar, mustard powder",2,combine all ingredients mixing well stand to thicken,164.6,7,6,108,14,9,,1
532,2 minute microwave brownie in a mug,"oil, water, flour, salt, sugar, cocoa powder, vanilla extract",4,add 2 tablespoons of butter or oil melt butter add 2 tablespoons of water add a pinch of salt add cocoa or chocolate powder add 1 tablespoon of sugar for chocolate powder or 2 tablespoons of sugar for cocoa powder add 1 teaspoon of vanilla extract stir it up microwave it for 2 minutes enjoy ! :d,370.7,7,44,51,6,10,,1
533,2 minute microwave fudge,"powdered sugar, cocoa, salt, milk, vanilla, butter, nuts",77,"sift powdered sugar , cocoa , and salt into a 1 quart microwave safe bowl stir in milk and vanilla mix well place butter on top microwave on high , 2 minutes beat with wooden spoon until smooth stir in nuts spread in 8 x 8 x 2 inch baking pan chill about 1 hour or until firm cut into 36 pieces",79.3,0,4,49,1,4,,1
534,2 minute peanut butter protein shake,"skim milk, banana, canned pumpkin, peanut butter, honey, cinnamon, ground cardamom",2,put all ingredients in a blender blend and enjoy !,235.7,20,13,60,12,11,,1
535,2 minute pizza  or pastry crust,"all-purpose flour, baking soda, salt, oil, hot water",20,"put the ingredients in the specified order into a large bowl or other container with lid that can be sealed close the lid then shake hard from side to side 5 or 6 times , then up and down 5 or 6 6 times that's it it's ready ! use your fingers to pat the pastry into a pie plate or pizza pan add the rest of your ingredients and bake",287.9,8,24,0,24,10,,1
536,2 minute scallops,"scallops, white wine, olive oil, marmalade",4,"heat oil in saut pan , medium high heat sear scallops about 15 seconds either side , remove from pan and keep warm add wine and deglaze the pan for about 10 seconds then add marmalade and swirl around until sauce begins to boil pour over scallops , garnish with a sprinkle of fresh herbs like , tarragon , chives or coriander",104.3,21,5,12,14,2,,1
537,2 point banana muffins,"splenda granular, unsalted butter, egg, vanilla extract, all-purpose flour, baking powder, baking soda, skim milk, bananas",25,"preheat oven to 350f place splenda and butter in a large bowl cream with an electric mixer until light and fluffy add egg and vanilla beat until thoroughly mixed in another large bowl , mix together flour , baking powder and baking soda add half of flour mixture to butter mixture beat well with mixer add milk and remaining flour mixture beat until batter is combined and then fold in mashed bananas spoon batter into muffin liners about 3 / 4 full bake until muffins start to brown and a tester inserted in center of a muffin comes out clean , about 20 to 30 minutes allow muffins to cool in pan for about 2 minutes remove",112.2,4,5,15,4,5,,1
538,2 points plus   broccoli rabe with garlic and parmesan,"broccoli rabe, olive oil, garlic cloves, salt, crushed red pepper flakes, parmesan cheese",30,"bring a large pot of water to a boil over medium-high heat add the broccoli rabe and cook until the thickest stems are tender about 3 minute drain and set aside heat the oil in large nonstick skillet over medium heat add garlic and cook , stirring , until fragrant , about 1 minute add the broccoli rabe and sprinkle with the salt and crushed red pepper cook , stirring , until coated with the oil and heated through , about 2 minute spoon into a serving bowl and sprinkle with parmesan 2 points plus for 1 cup serving",82.7,14,7,2,18,1,,1
539,2 pot stove top unstuffed cabbage rolls,"lean ground beef, cabbage, onion, garlic clove, condensed tomato soup, tomato sauce, water, salt and pepper, long grain rice",35,"in one pot , cook rice you will want to end up with 2 cups of cooked rice in the second pot , a medium dutch oven , brown ground beef , onion and garlic drain if needed and return to pot add your soup and sauce , 1 / 2 cup water , cabbage , salt and pepper to taste stir well cook over medium heat , covered , for 15-20 minutes or until cabbage is soft stir occasionally and add remainder 1 / 4 cup of water while cooking , if sauce gets too thick divide rice onto 4 plates top with the beefy tomato cabbage mix",622.3,64,19,45,33,31,beef,0
540,2 sauces for basting or dipping,"crushed pineapple, peach, sugar, cinnamon, ginger, v8 vegetable juice, orange marmalade, dijon mustard",20,"for pineapple sauce-------------- pour undrained pineapple into bowl add peaches and sugar mix well add spices and stir until blended for orange sauce-------------- in small saucepan , combine ingredients heat on med to boiling reduce heat to low cook 10 minutes or until thickened , stirring often can be used to baste chicken , pork , or fish or are excellent as dipping sauces for nuggets , strips , etc",661.5,8,1,634,17,57,,1
541,2 texans craving salsa far from home,"onion, fresh cilantro, whole canned tomatoes, chili powder, garlic powder, salt, lime, jalapenos, cayenne pepper",20,"in a blender , combine cilantro , tomatoes , jalapenos , juice of 1 / 2 a lime blend add spices and salt the salsa will have a small bite from just the jalapenos , i like to taste it now and then add in minced seeds for heat -- remember to add in small amounts , jalapenos add the kind of heat that sneaks up on you not to mention one night in the fridge with all those flavors mingling could up the heat substantially sometimes i use cayenne pepper to build heat bc it dosen't seem to have as strong of staying power on your tounge then again i'm sure others would disagree and have their own methods for building heat last add the onions and once this is done put the blender away , otherwise you end up with spicy vegetable pulp , the onions will give it texture sometimes i leave out the cilantro until i add the onions to give the sauce even more texture of course you'll want to chop the leaves a little enjoy !",186.9,15,2,93,145,14,,1
542,2 x 2 cottage cheese smoothie,"banana, peach, skim milk, cottage cheese, vanilla extract, almond extract, splenda sugar substitute",5,blend together drink !,335.2,41,6,91,17,17,,1
543,2  handed kitchen sink tomato sandwich,"tomatoes, bread, salt and pepper, mayonnaise",15,"in the peak of tomato season , chill 1 very large or 2 medium size tomatoes that have been vine-ripened and have plenty juice take 2- slices of bread and coat them with 1 / 4 inch good mayonnaise add layer of tomatoes cut 1 / 4 inch thick salt & pepper to taste add another slice of tomatoes and salt and pepper to taste again add the other piece of bread on top of this roll up your sleeves and start eating over the kitchen sink while the juice runs down your elbows",165.8,10,3,27,11,10,,1
544,2  step pasta sensation,"cooked pasta, parmesan cheese, ranch dressing",25,toss hot pasta with cheese and dressing that's it that's all !,295.9,17,17,2,13,13,,1
545,2 2 2 diet mocha,"instant coffee, unsweetened cocoa powder, nonfat dry milk powder, artificial sweetener, vanilla extract, salt, hot water",5,"stir dry ingredients together add hot water and stir add sweetener , vanilla , and salt serve enjoy !",33.3,5,0,10,7,1,,1
546,2 4 6 8 ranch dip,"green peppers, tomatoes, green onions, mozzarella cheese, ranch dressing",20,toss all of the veggies and the cheese together in a medium bowl start with about a 1 / 4 cup of ranch dressing and stir continue to add ranch until it is all well covered serve with your favorite cracker,140.9,19,13,15,10,2,,1
547,2 cheese mushroom toast,"olive oil, sliced mushrooms, salt and pepper, french roll, butter, garlic clove, mozzarella cheese, mushroom, american cheese",20,"preheat oven to 400f directions for sauteed mushrooms: saute the mushrooms and salt / pepper in the olive oil until the mushrooms are slightly brown directions for toast: line a sheet pan with foil and spray with nonstick cooking spray each split roll gets half of the butter and garlic amount spread each amount of butter over face of roll , then the garlic divide the mozz cheese in equal parts and spread out over bread spread sauteed mushrooms over mozz cheese lay / spread american or cheddar cheese over mushrooms put on sheet pan and bake for 10 minutes",331.4,27,38,4,22,4,,1
548,2 ingredient punch  mock champagne punch,"white grape juice, ginger ale, raspberries, blackberry, strawberry, blueberries",5,"place white grape juice and ginger-ale in refrigerator overnight or until well chilled placing them in the freezer for a couple of hours before serving will make them 'icy' and everyones favorite in a serving picture or punch bowl , pour equal parts white grape juice and ginger-ale stir gently fill each glass , and if you want garnish with frozen fruit optional garnish: on a lined cookie sheet , place the fruit in a single layer but not touching , into the freezer for several hours until frozen after they are completely frozen , they can be bagged together as long as they stay in the freezer so they don't stick together then use one of each fruit to garnish each glass it is beautiful and also keeps it colder longer and doesn't water down the flavor",284.3,1,0,280,0,23,,1
549,2 minute eggless microwave chocolate cake,"all-purpose flour, unsweetened cocoa powder, vegetable oil, milk, granulated sugar, light brown sugar, baking powder, salt",4,"mix all dry ingredients in a microwave safe mug with a fork , add all wet ingredients and mix thoroughly until its a smooth and running liquid place mug in microwave and set on full power for 2 minutes after the timer has gone off , let cake sit in microwave for 30 seconds serve plain , dusted with sugar , with vanilla ice cream or whipped cream -- whatever catches your fancy happy microwaving !",659.0,14,69,155,9,22,,1
550,2 minute microwave lime cheesecake,"graham cracker crumbs, butter, sugar, cream cheese, lime, zest of, fresh lime juice, egg, potato starch",7,combine crumbs with butter and 1 tbsp sugar stir until sandy in texture divide between two pint-sized mason jars or large coffee mugs pack crumbs down into bottoms stir remaining ingredients together until smooth divide between vessels place in microwave for 2 minutes on high continue to cook for 30-second intervals until the tops appear dry transfer to refrigerator for at least 1 hour before serving the top will develop a dimple as it cools top with a dollop of whipped cream to cover it up,822.7,23,93,200,27,20,ham,0
551,2 minute noodle corn pancakes,"maggi 2-minute noodles, eggs, plain flour, baking powder, corn kernels, chives, fresh parsley, milk, oil",8,"lightly break the noodles into a bowl , pour over boiling water to cover and allow to stand for 5 minutes , drain noodles into a colander and return to the bowl stir in the beaten eggs , flour , corn kernels , chives , parsley , flavour sachet and milk heat a non stick pan , brush with oil , and drop spoonfuls of the mixture into the pan and cook until golden , turn over and cook until set",40.5,3,1,0,0,2,,1
552,2 minute noodles for two with ham   cheese,"noodles, eggs, ham, cheese",20,"hard boil eggs and let sit in cold water for 5 minutes before peeling and cutting into 6-8 slices cook noodles for 2 minutes in boiling water then drain liquid and add in flavour satchets from 2 of the packets gently mix cheese , ham and sliced egg into the noodles and serve immediately",734.8,82,32,12,34,30,ham,0
553,2 minute zingy minty cucumber slices,"cucumber, dried mint, kosher salt, ground black pepper",2,mix the dry spices together wash and cut the cucumber and put the slices into the bowl-- don't pat them dry or anything leave them wet so it can pick up the seasoning pour the seasoning mix onto the cucumber slices and toss around in the bowl so they each get plenty of the mix they're ready to eat ! about 2 generously-sized servings that are great for a lunch or snack side dish,25.3,2,0,10,18,2,,1
554,2 step garlic pork chops,"vegetable oil, boneless pork chops, garlic clove, campbell's cream of mushroom soup, milk",30,heat the oil in a 10-inch skillet over medium-high heat add the chops and garlic and cook for 10 minutes or until the chops are well browned on both sides remove the chops and set aside stir the soup and milk into the skillet heat to a boil return the chops to the skillet and reduce the heat to low cover and cook for 5 minutes or until the chops are slightly pink in the center the internal temperature of the pork chops should reach 160f this recipe is also on the campbells page used with chicken,406.6,84,34,4,28,2,pork,0
555,2 step pumpkin cheesecake,"cream cheese, canned pumpkin, sugar, pumpkin pie spice, whipped topping, prepared graham cracker crust",30,"beat cream cheese , pumpkin , sugar and pumpkin pie spice in large bowl with wire whisk or electric mixer until smooth gently stir in whipped topping spoon into crust refrigerate three hours or until set garnish as desired store leftover cheesecake in refrigerator",382.8,9,37,109,15,13,ham,0
556,2   baby potatoes with rosemary,"small potatoes, olive oil, fresh rosemary, salt, fresh coarse ground black pepper, rosemary sprig",60,"preheat oven to 425f cut each potato in half or into quarters if large place potatoes in large bowl & toss with olive oil , chopped rosemary , salt , and pepper put into roasting pan roast potatoes 30 to 40 minutes , turning occasionally with metal spatula , until golden and fork-tender garnish with rosemary sprigs",207.3,7,8,10,15,11,,1
557,20 min  sour cream chicken enchiladas,"canned chicken, cream of chicken soup, diced green chilies, sour cream, mexican cheese, green onion, flour tortillas",40,"heat tortillas in oil and drain place 1 t of mixture in the middle and roll up -- line them all up in a casserole and when done -- pour what's left over on top and cover with cheese bake 350 for 20 minutes top with salsa or any relish you like p s i make my own soup i melt butter or margarine and add enough flour to make a thin paste and some salt and pepper i cook this about 2 min while stirring with a whisk as it thickens then i add 1 can of beef broth and some powdered chicken stock and when it gets to the consistency i want i add the 2 cans of chicken & the juice , sour cream and some chopped jalapenos after rolling up the tortillas i bake- 5 min before done i top with mexican cheese and some chopped tops of green onion we serve salsa on the side",685.3,57,69,31,74,13,chicken,0
558,20 minute chicken alfredo recipe,"half-and-half cream, philadelphia cream cheese, kraft 100% parmesan cheese, butter, fettuccine pasta, boneless chicken breasts, black pepper, italian seasoning",35,"season boneless chicken breast with black pepper and italian seasoning to taste cook as desired boil noodles per directions in a medium , non-stick sauce pan place half & half , butter , and cream cheese into pan stir constantly on low / low-medium setting and gradually add parmesan cheese sauce will thicken as desired , usually 15-20 minutes drain noodles , cut chicken into strips and top with alfredo sauce enjoy !",846.9,83,83,1,26,16,chicken,0
559,20 minute chicken nuggets,"chicken breast, flour, salt, water, vinegar, baking soda, oil",20,"cut chicken breasts into bite-sized pieces and begin heating the oil in a pan combine flour and salt in a bowl in a smaller bowl , combine vinegar and baking soda pour the vinegar and baking soda mixture into the flour mixture along with the 1 / 3 cup of water stir to smoothen the batter coat chicken piece in batter and let excess batter drip off before placing it into your hot oil fry till nice and golden brown",233.4,49,16,0,12,2,chicken,0
560,20 minute creamy pesto chicken and bow ties,"bow tie pasta, butter, boneless skinless chicken breast, cream of chicken soup, pesto sauce, milk",20,"boil water for pasta cook and drain meanwhile , in a skillet , melt butter or margarine and brown cubed chicken add soup , pesto sauce and milk to skillet bring to a boil and cook on low for about 5 minutes stir in pasta and heat through",377.8,62,23,3,30,9,chicken,0
561,20 minute garlic rosemary chicken   brown rice dinner,"oil, boneless skinless chicken breast halves, garlic powder, dried rosemary leaves, reduced-sodium chicken broth, water, minute brown rice",60,heat oil in large nonstick skillet on medium-high heat add chicken sprinkle with 1 / 4 tsp each of the garlic powder and rosemary cover cook 4 minutes on each side or until chicken is cooked through remove chicken from skillet add broth and water to skillet stir bring to boil stir in rice and remaining garlic powder and rosemary top with chicken cover cook on low heat 5 minutes remove from heat let stand 5 minutes,202.5,58,8,0,4,2,chicken,0
562,20 minute honey granola   easy,"rolled oats, salt, almonds, ground cinnamon, ground flax seeds, oil, honey, vanilla extract",24,"heat oven to 300 degrees combine oats , nuts , salt , cinnamon and flax in a large bowl and set aside combine oil , honey and vanilla in another , smaller bowl mix wet ingredients into dry - you may need to use your hands then spread the mixture onto two cookie sheets lined with foil or parchment bake 10 minutes then remove from oven and stir bake an additional 10 minutes or until slightly golden remove from oven and allow to cool completely when cooled , transfer into an airtight container for storage",340.9,14,25,78,6,14,,1
563,20 minute mexican rice,"rice, vegetable oil, onion, garlic, beef broth, ground cumin, tomato paste, frozen green pea, carrot",23,"cook rice in hot oil in 2 to 3 litre saucepan over medium heat , stirring constantly , about 2 minutes stir in onion and garlic cook , stirring about 1 minute add broth and cumin heat to boiling stir once or twice lower heat to simmer cover with tight fitting lid cook 15 minutes or until rice is tender and liquid is absorbed combine tomato paste and 1 tablespoon water stir tomato mixture , peas and carrots into rice fluff with a fork",246.8,11,6,11,13,15,beef,0
564,20 minute mini meat loaves,"ground beef, eggs, salt, salsa, onion, tortilla chips, cheddar cheese, cilantro, chili powder",25,"preheat oven to 425 degrees line a rimmed baking sheet with foil whisk 2 / 3 cup salsa , 2 large eggs and 1 / 2 teaspoons salt in a large bowl to blend add onion , crushed tortilla chips , cheese , cilantro , chili powder and ground beef mix well using hands form into 5 inch long , 2 1 / 2 inch wide loaves on lined pan bake 20 minutes or until cooked through serve with sauce",343.7,55,35,11,32,2,beef,0
565,20 minute pasta bake,"ziti pasta, lean ground beef, pasta sauce, parmesan cheese, mozzarella cheese",25,"cook pasta 8 minutes while cooking ground beef over medium high heat mix meat , pasta , and sauce cover with cheese bake at 325 for 15 minutes",501.9,66,28,22,28,16,beef,0
566,20 minute pork chops mornay,"boneless pork chop, vegetable oil, cream of mushroom soup, water, swiss cheese, parmesan cheese, nutmeg, cooked rice",20,"in a skillet , brown pork chops in hot oil add soup and water cover and simmer until pork is no longer pink stir in shredded swiss , parmesan and nutmeg after removing from heat serve over cooked rice or egg noodles",316.3,58,29,5,26,1,pork,0
567,20 minute skillet salmon,"oil, salmon fillets, skim milk, light spreadable cheese with garlic and herbs, cucumber, dill",30,heat oil in large skillet on medium heat add salmon and cook five minutes on each side until salmon flakes easily with fork remove from skillet cover to keep warm add milk and 125 gram cream cheese product stir until cream cheese product is melted and mixture is well blended stir in chopped cucumbers and dill return salmon to skillet or until heated through serve salmon topped with the warm cheese sauce i keep the salmon warm and place on the dinner plate and then spoon the sauce on top i think this works better,409.8,130,20,0,10,1,salmon,0
568,20 minute spanish rice,"chicken stock, long grain rice, taco seasoning, salsa, corn kernel, black beans",25,"boil the chicken stock and taco seasoning in a medium pot once mixture comes to a boil add the rice , salsa , corn and beans (or peas if you prefer stir a bit turn heat to low and cover pot allow to cook on low , undisturbed , for 20 minutes after 20 minutes are up , toss the rice a bit , and serve !",260.9,17,3,10,12,17,chicken,0
569,20 minute stroganoff,"lean ground sirloin, onion, potatoes, cream of mushroom soup, sour cream, pepper, salt",20,"wash potatoes and place in microwave to cook through and cut into pieces while potatoes are cooking , fry ground sirloin in a pan , drain add potatoes , chopped onion , soup , milk , sour cream , and salt and pepper to the hamburger and heat through",633.1,63,52,17,38,16,,1
570,20 minute applesauce cookies,"bananas, rolled oats, applesauce, vanilla extract, ground flax seeds, dried cherries",30,"preheat oven to 350 degrees using a fork , mash the bananas in a bowl stir in oats , applesauce , dried cherries , flax and vanilla extract mix batter well drop by rounded spoonfuls onto a lined cookie sheet bake for 20 minutes",29.0,1,0,5,0,1,,1
571,20 minute chicken   rice with broccoli     k,"oil, boneless skinless chicken breast halves, condensed cream of chicken soup, minute white rice, broccoli florets",20,"heat oil in large non-stick skillet on medium-high heat add chicken , cover and cook 4 minutes on each side or until cooked through remove chicken from skillet add soup and 1 soup can water to skillet stir bring to boil and stir in rice and broccoli top with chicken cover and cook on low heat 5 minutes season to taste",418.1,67,15,1,24,15,chicken,0
572,20 minute chicken parmesan,"boneless skinless chicken breast halves, egg, italian seasoned breadcrumbs, butter, spaghetti sauce, mozzarella cheese, parmesan cheese, fresh parsley",25,"place chicken between two sheets of heavy-duty plastic wrap flatten to 1 / 4-inch thickness , using a meat mallet or rolling pin dip chicken in egg , and dredge in breadcrumbs cook chicken in butter in a large skillet over medium-high heat until browned on both sides spoon spaghetti sauce over chicken bring to a boil cover , reduce heat , and simmer 10 minutes sprinkle with cheeses and parsley cover and simmer 5 additional minutes or until cheeses melt",358.2,66,24,24,33,6,chicken,0
573,20 minute huckleberry muffins,"flour, baking powder, salt, huckleberries, eggs, milk, sugar, butter, vanilla",20,"preheat oven to 400f grease a standard 12-muffin pan or line with paper cups thoroughly mix the flour , baking powder , salt and huckleberries together in a large bowl set aside in another bowl , whisk together eggs , milk or cream , sugar , butter , and vanilla add the wet ingredients to the dry and mix together with a few light strokes just until just blended do not overmix the batter should not be smooth divide the batter among the muffin cups bake for 15 minutes , or until a toothpick inserted in 1 or 2 of the muffins comes out clean let cool for a few minutes , and serve warm",718.6,31,34,180,39,37,,1
574,20 minute tomato basil pork chops,"boneless pork chops, vegetable oil, cream of mushroom soup, water, plum tomato, dried parsley flakes, dried basil, butter, egg noodles",20,"brown chops in skillet in oil combine tomato , soup , water and seasonings and add to browned chops cover and simmer about 15 minutes , or until chops are done stir in butter or margarine prior to serving serve over noodles or rice",655.1,125,58,13,51,4,pork,0
575,20 minutes chicken parmesan with spaghetti,"boneless skinless chicken breast halves, egg, seasoned dry bread crumb, margarine, spaghetti sauce, mozzarella cheese, parmesan cheese, dried parsley flakes, cooked spaghetti",20,"flatten chicken to even thickness using palm of hand or meat mallet dip chicken in egg , then coat with crumbs in 10-inch skillet over medium heat , heat margarine and cook chicken until brown on both sides add spaghetti sauce reduce heat to low and cover , simmer for 10 minutes sprinkle with cheeses and parsley cover and allow to simmer 5 more minutes or until cheese melts serve over hot spaghetti",590.0,88,25,51,47,20,chicken,0
576,2000 flushes,"spiced rum, blue curacao, mango rum, sprite, lemonade",5,"combine the spiced rum and mango rum in a cocktail shaker with ice add the blue curacao , shake well and strain into a cocktail glass add sprite and lemonade",77.3,0,0,10,0,0,,1
577,2014 memorial day buttermilk french toast,"texas toast thick bread, eggs, sugar, buttermilk, milk, vanilla, nutmeg, cinnamon, butter",25,"whisk all ingredients over medium heat , lightly grease pan or griddle with 1 tablespoon butter or less dip each slice of bread into the egg mixture , flip to coat each side do this quickly , so as not to completely soak the bread place on pan over medium heat for approx 2-3 min per side flip to repeat on reverse side slice on a diagonal and serve with powdered sugar or syrup",277.4,21,14,28,17,12,,1
578,21st street pan bagna rolls,"yeast, warm water, sugar, oil, salt, flour",40,dissolve yeast with warm water and add the sugar let this sit for at least 15 minutes add the remaining ingredients and knead for 10 minutes cover and let rise for about 45 minutes punch down and let rest for 5 minutes divide into 8 pieces roll each piece into a round shape about 9 inches around fold edges into the center and pinch into the center preheat oven to 425 degrees with a pan of hot water in the floor of the oven place on a baking sheet and let rise for 1 hour then bake for 10 minutes turn the heat down to 350 degrees and bake for an additional 15 minutes remove from the oven and wrap in a towel for a few minutes to steam,272.2,13,11,4,24,14,,1
579,24k carrots,"carrots, brown sugar, butter, ground ginger",15,"cook carrots until tender- or to desired doneness melt butter and add brown sugar and ginger , stirring to blend add sauce to carrots and stir to coat",124.4,2,9,48,5,5,,1
580,25 minute chicken noodle soup,"low sodium chicken broth, chicken breasts, new potatoes, carrots, creamed corn, dried parsley, black pepper, salt, egg noodles",25,"in a large sauce pan , place the first 8 ingridients and bring to a boil add the noodles and cook until done , stirring occasionally",299.4,37,9,13,23,14,chicken,0
581,25 minute orecchiette w chicken   rosemary,"orecchiette, rotisserie-cooked chicken, rosemary, parmesan cheese, kosher salt, pepper",25,"cook the pasta according to the package directions shred the chicken , using a fork or your fingers , while the pasta cooks discard the skin and bones drain the pasta , reserving 1 1 / 4 cups of the water return the pasta to the pot add the reserved pasta water , chicken , rosemary , 1 / 2 cup of the parmesan , 1 / 2 teaspoon salt , and 1 / 4 teaspoon pepper to the pot stir over medium-low heat until the sauce has thickened slightly , about 2 minutes divide among individual bowls and sprinkle with the remaining parmesan starchy and salted , it makes a light , flavorful sauce when tossed with cheese and herbs it's also great for thinning pestos and marinaras",756.4,118,41,6,17,21,chicken,0
582,25 clove garlic soup,"garlic, leek, potatoes, vegetable broth, tomato paste, cumin, thyme, salt, creme fraiche",55,"peel garlic cut the leek in chunks peel potatoes and cut in chunks boil the vegetable broth with tomato paste and herbes add garlic , leek and potatoes cover and cook on low heat for appr 40 minutes puree the soup add creme fraiche and heat soup for 1 minute",483.1,22,17,23,30,28,,1
583,250 calorie dinner,"chicken breast, sliced mushrooms, fat-free italian salad dressing, onion, lowfat margarine, zucchini, tomatoes, low-fat cheese",65,"in shallow dish , place chicken with mushrooms cover with dressing marinate for 30 minutes drain reserve dressing in large skillet , cook onion in margarine till tender add chicken and mushrooms cook , covered over med heat till chicken is tender add zucchini , tomatoes and marinade cook and stir until zucchini is tender remove from heat sprinkle with cheese pieces cover and let stand 2 minutes for cheese to melt",232.9,51,16,21,16,2,chicken,0
584,250 of nearly everything chocolate cake,"salted butter, dark cooking chocolate, eggs, caster sugar, ground almonds, bittersweet dark chocolate",70,"preheat the oven to 180 degrees celsius grease the base an 8-9inch diameter springform cake tin , and line with greaseproof or baking paper melt the butter and chocolate in a double boiler stir every so often and set aside to cool when there are no lumps separate the eggs into two different bowls beat the yolks , then add the caster sugar beat until pale , thick and creamy add the almonds , and mix to combine well add the chocolate mixture and stir until well combined beat the egg whites until stiff peaks form gently fold into the chocolate almond mixture until well combined pour into the prepared cake tin and bake for 40-50 minutes make sure the top does not burn , when a skewer is inserted there will still be some mixture attached to it , but it will be soft as opposed to uncooked remove from the oven and leave to cool in the tin when cool , remove from the tin you will need to run a knife around the edges put on a plate after having removed the baking paper on the base melt the remaining chocolate until there are no lumps , and pour in stages over the cake until the chocolate is evenly spread down the sides and over the top this is very rich but is nice served with orange sorbet to cut through the richness",537.2,24,69,89,7,11,,1
585,2bleu cups of chocolate lava please,"sugar, semisweet chocolate morsel, unsweetened cocoa powder, cornstarch, half-and-half, ground cinnamon",7,"to a food processor , blend sugar and chips to a fine crumble or powder add cocoa powder and cornstarch , blending well slowly pour in warm half & half to blend pour into a small saucepan and simmer over medium heat using a whisk , stir slowly and consistantly until thickened pour into small coffee cups , add a sprinkle of cinnamon if desired , and serve sip carefully as it will be hot !",593.4,21,45,247,3,28,,1
586,2bleu s 2 minute 2 easy pizza sauce,"tomato sauce, tomato paste, italian seasoning, garlic powder, sugar, salt, crushed red pepper flakes, olive oil",2,"wisk all ingredients except olive oil then slowly drizzle olive oil in while whisking quickly to incorporate the oil we sometimes put it all into a jar and shake it very well until blended , then refrigerate until needed it's recommended to let it sit a few hours , but it can be used right away to store , pour into an air-tight jar and store in the refrigerator for up to 1 week you can also freeze it for up to 2 months or use a canning method to store for up to 1 year",327.2,14,32,95,123,11,,1
587,2bleu s 2easy boboli,"flour, salt, italian seasoning, instant minced garlic, active dry yeast, warm water, olive oil",20,"add all ingredients except the olive oil to your kitchenaid or stand mixer let machine knead the dough for 3-4 minutes until it pulls away from the sides and forms a soft ball of dough that will be slightly sticky place in lightly greased bowl , cover with a damp cloth and let rise for 1-1 / 2 hours or until doubled in bulk turn dough out , punch down and knead by hand for 5 minutes or so return to bowl and let rise for 30 minutes preheat oven to 400f divide dough in half roll out two 10-2"" rounds and place on two baking sheets that have been lined with parchment paper brush olive oil over tops and bake for 10-12 minutes you can now top the crust , freeze it , or eat it the way it is just remember when you top it the crust is already 2 / 3 of the way baked and will require only enough time so that the cheeses , etc are bubbly you can opt to broil the toppings if you prefer",394.2,28,12,0,12,22,,1
588,2bleu s bacon cheeseburger roll up,"lean ground beef, onion, italian seasoning, cheddar cheese, bacon, prepared pizza crust",45,"preheat oven to 400f cook ground beef , onions , and italian seasoning in large skillet on medium-high heat until ground beef is evenly browned drain and return meat mixture to skillet add cheese and bacon and cook until the cheese is mostly melted , stirring frequently cool 10 minutes line a baking sheet with parchment paper or spray with non-stick cooking spray roll out dough to 15x8-inch rectangle top with meat / cheese mixture evenly on top , leaving a 1"" margin at one of the long ends roll up dough , starting at the long sides , ending where you left out the filling on the edge place seam-side down onto center of baking sheet and bake for 20 to 25 minutes or until golden brown cut diagonally into six slices to serve",339.8,51,38,3,15,0,"bacon, beef",0
